country,name,numeric_id,death_cancer_all,death_breast,death_colon,death_liver,death_mouth,death_oesophagus,daly_breast,daly_colon,daly_liver,daly_mouth,daly_oesophagus,oral_cancer_rate,oral_cancer_cases,cancer_surgery,cancer_registry,cancer_plan,breast_screening,cancer_dept
QAT,Qatar,634,76.155373517,3.0,7.3,5.5,1.3,5.1,26.0,35.0,33.9,9,28.0,2.2,30.0,Yes,Yes,Yes,Yes,Yes
ROU,Romania,642,141.060649594,10.6,13.9,7,6.4,1.9,135.0,138.0,67.3,87.0,22.0,5.4,1929.0,Yes,Yes,Yes,Yes,Yes
RUS,Russian Federation,643,129.18517913,13.8,18.7,4,4.7,3.5,176.0,179.0,44.3,60.0,35.0,5.1,12402.0,Yes,Yes,Yes,Yes,Yes
RWA,Rwanda,646,119.963655395,3.6,6.3,32.7,6.6,9.3,49.0,43.0,330.9,58.0,79.0,1.3,99.0,Yes,Yes,Yes,Yes,Yes
KNA,Saint Kitts and Nevis,659,,13.7,8.2,,3.8,1.9,179.0,53.0,61.5,49.0,18.0,,,Yes,No,No,Yes,Yes
LCA,Saint Lucia,662,100.980463665,11.4,7.0,5.1,7.1,5.1,151.0,64.0,15.2,97.0,45.0,4.2,10.0,Yes,No,Yes,No,No
VCT,Saint Vincent and the Grenadines,670,174.904096601,14.1,9.0,3.1,3.6,2.4,199.0,60.0,47.4,42.0,29.0,,,Yes,No,Yes,Yes,Yes
WSM,Samoa,882,134.57797495,11.9,8.4,4.9,2.9,1.9,147.0,86.0,23.7,37.0,24.0,3.0,5.0,Yes,No,Yes,No,No
SMR,San Marino,674,,7.1,9.0,3,2.5,0.9,87.0,76.0,88.7,21.0,8,,,Yes,Yes,Yes,Yes,No
STP,Sao Tome and Principe,678,114.732140419,8.9,8.4,9.4,4.6,24.7,95.0,62.0,95.4,45.0,218.0,,,No,No,No,No,No
SAU,Saudi Arabia,682,65.442659642,7.3,8.3,11.5,6.0,4.7,98.0,77.0,388.0,60.0,34.0,1.7,452.0,Yes,Yes,Yes,Yes,Yes
SEN,Senegal,686,103.121970682,10.9,3.9,37.1,8.7,0.5,112.0,40.0,63.5,71.0,7,1.9,177.0,Yes,No,Yes,No,Yes
SRB,Serbia,688,,,,,,,,,,,,4.9,863.0,Yes,Yes,Yes,Yes,Yes
SYC,Seychelles,690,216.616228977,11.3,3.4,2.9,16.5,6,117.0,42.0,288.9,205.0,58.0,,,Yes,Yes,Yes,No,Yes
SLE,Sierra Leone,694,88.451818493,21.4,8.8,24.7,6.9,2.7,261.0,101.0,100.9,83.0,29.0,1.2,57.0,Yes,No,Yes,No,No
SGP,Singapore,702,122.302988654,8.1,17.6,12.1,5.8,2.7,100.0,145.0,47.0,68.0,18.0,2.3,232.0,Yes,Yes,No,Yes,Yes
SVK,Slovakia,703,211.951474808,11.7,25.8,4.9,9.7,4,134.0,234.0,42.9,129.0,49.0,6.1,579.0,No response,Yes,Yes,Yes,No response
SVN,Slovenia,705,181.339574562,12.9,22.3,4.6,4.4,3.7,157.0,208.0,77.2,57.0,40.0,3.9,158.0,Yes,Yes,Yes,Yes,Yes
SLB,Solomon Islands,90,84.239481023,5.9,4.4,6.4,11.3,3.5,70.0,38.0,258.1,109.0,34.0,2.4,11.0,No,No,Yes,Yes,No
SOM,Somalia,706,118.204087537,9.1,6.5,20.2,8.9,21.7,135.0,80.0,43.5,120.0,232.0,2.0,175.0,No,No,No,No,No
ZAF,South Africa,710,179.783530797,15.0,11.0,3.9,6.8,15.7,156.0,92.0,48.9,74.0,168.0,3.8,1933.0,Yes,Yes,Yes,Yes,Yes
SSD,South Sudan,728,,,,,,,,,,,,1.9,118.0,No,No,Yes,No,No
