country,name,numeric_id,death_cancer_all,death_breast,death_colon,death_liver,death_mouth,death_oesophagus,daly_breast,daly_colon,daly_liver,daly_mouth,daly_oesophagus,oral_cancer_rate,oral_cancer_cases,cancer_surgery,cancer_registry,cancer_plan,breast_screening,cancer_dept
GNB,Guinea-Bissau,624,125.836405022,18.5,7.5,21.2,5.8,2.3,221.0,80.0,225.6,64.0,23.0,1.2,12.0,No response,No,No,No,No response
GUY,Guyana,328,97.104045667,13.3,8.5,4.9,3.2,1.8,190.0,70.0,46.7,38.0,16.0,1.3,11.0,Yes,Yes,No,No,Yes
HTI,Haiti,332,167.964666719,1.3,7.0,13.1,1.6,6.7,15.0,49.0,99.8,15.0,48.0,1.4,130.0,No,No,No,Yes,No
HND,Honduras,340,121.517303756,10.8,7.9,6.2,3.0,2.1,142.0,73.0,51.0,31.0,16.0,1.1,89.0,No,Yes,No,No,No
HUN,Hungary,348,218.890955643,14.5,29.3,5.8,12.2,4.6,166.0,253.0,55.1,176.0,56.0,6.3,1153.0,Yes,No,No,Yes,Yes
ISL,Iceland,352,141.227704227,10.8,14.6,1.2,2.5,2.8,148.0,128.0,5.9,22.0,24.0,1.8,13.0,Yes,Yes,Yes,Yes,Yes
IND,India,356,80.122983032,7.4,5.1,1.9,15.7,10.5,80.0,46.0,19.2,146.0,91.0,9.8,135929.0,Yes,Yes,Yes,Yes,Yes
IDN,Indonesia,360,94.671920426,13.4,16.4,10.7,6.5,1.1,168.0,147.0,107.5,80.0,8,2.0,5780.0,Yes,Yes,No,Yes,Yes
IRN,"Iran, Islamic Republic of",364,88.4625209,5.7,6.6,1.8,3.2,22.2,85.0,76.0,19.3,31.0,199.0,1.3,1139.0,Yes,Yes,Yes,Yes,Yes
IRQ,Iraq,368,98.226244612,12.5,7.5,1,8.1,1.9,192.0,120.0,14.2,114.0,24.0,1.1,264.0,Yes,Yes,Yes,Yes,Yes
IRL,Ireland,372,153.858880711,14.5,19.9,3.5,2.8,7,182.0,173.0,27.6,26.0,58.0,4.0,317.0,Yes,Yes,Yes,Yes,Yes
ISR,Israel,376,101.365843607,14.1,17.8,3.3,1.6,1.7,179.0,153.0,27.3,20.0,15.0,1.6,204.0,Yes,Yes,Yes,Yes,Yes
ITA,Italy,380,142.171714561,11.0,14.8,8.5,2.9,1.9,144.0,139.0,67.1,33.0,17.0,2.8,4037.0,Yes,Yes,Yes,Yes,Yes
JAM,Jamaica,388,140.6662268,15.1,11.1,4.2,3.5,4.1,173.0,81.0,33.2,32.0,31.0,0.75,28.0,Yes,Yes,No,No,Yes
JPN,Japan,392,129.923203937,5.2,15.4,13.0,2.3,4.5,90.0,160.0,106.0,25.0,40.0,3.4,11210.0,Yes,Yes,Yes,Yes,Yes
JOR,Jordan,400,103.933631232,14.2,11.7,2.8,3.3,1.9,191.0,123.0,26.7,36.0,17.0,1.3,97.0,Yes,Yes,Yes,Yes,Yes
KAZ,Kazakhstan,398,116.967429695,12.4,5.9,7.5,6.8,15.9,165.0,59.0,70.5,73.0,143.0,2.7,573.0,Yes,Yes,Yes,Yes,Yes
KEN,Kenya,404,144.320323059,8.5,5.1,6.8,6.2,22.1,93.0,42.0,63.1,59.0,182.0,2.8,759.0,Yes,Yes,Yes,Yes,Yes
KIR,Kiribati,296,236.526588335,10.0,0.0,6,7.6,2.6,156.0,1,65.5,68.0,20.0,,,No,No,Yes,Yes,No
PRK,"Korea, Democratic People's Republic of",408,117.825611421,5.1,8.8,13.2,1.5,1.9,79.0,89.0,157.7,15.0,31.0,0.85,311.0,Yes,No,Yes,No,Yes
KOR,"Korea, Republic of",410,127.590762427,3.4,20.9,25.8,2.3,3.9,51.0,129.0,463.2,41.0,60.0,2.0,1861.0,Yes,Yes,Yes,Yes,Yes
KWT,Kuwait,414,88.214475425,5.4,6.6,7.8,1.4,2,63.0,51.0,53.9,11.0,11.0,1.6,62.0,Yes,Yes,Yes,Yes,Yes
KGZ,Kyrgyzstan,417,95.977011058,7.7,4.1,4.4,4.4,6.4,104.0,46.0,42.9,44.0,59.0,1.8,93.0,Yes,Yes,Yes,Yes,Yes
LAO,Lao People's Democratic Republic,418,130.865679459,6.2,10.0,23.9,10.3,2.2,86.0,93.0,234.4,87.0,19.0,3.8,205.0,Yes,No,Yes,No,Yes
LVA,Latvia,428,194.573895824,13.0,18.5,3.8,5.0,3,169.0,159.0,41.1,59.0,32.0,6.0,218.0,Yes,Yes,No,Yes,Yes
LBN,Lebanon,422,187.725013912,9.7,2.5,0.5,2.7,0.9,135.0,25.0,8.7,33.0,10.0,1.1,84.0,Yes,Yes,Yes,Yes,Yes
LSO,Lesotho,426,132.502948224,5.0,3.1,11.5,3.5,10.8,45.0,25.0,108.9,29.0,92.0,1.8,29.0,No response,No,No response,No,No response
LBR,Liberia,430,100.346624154,16.9,9.4,12.1,8.2,2.9,158.0,76.0,165.3,91.0,23.0,1.2,36.0,Don't know,No,Yes,No,Yes
LBY,Libya,434,78.680352515,7.0,4.2,4.2,4.3,2.8,98.0,50.0,43.9,48.0,25.0,1.1,60.0,Yes,No,No,No,Yes
LTU,Lithuania,440,141.507285267,11.6,16.3,2.8,5.4,3.5,154.0,141.0,31.0,70.0,39.0,3.6,193.0,Yes,Yes,Yes,Yes,Yes
LUX,Luxembourg,442,108.970280852,12.8,16.7,4.6,5.5,3.8,152.0,135.0,37.7,66.0,35.0,4.2,45.0,Yes,Yes,Yes,Yes,Yes
ME1,ME1,,,13.3,16.66,6.8,3.8,2.1,,,,,,,,,,,,
MDG,Madagascar,450,128.176271416,7.7,6.2,17.0,7.3,20.6,86.0,50.0,159.6,72.0,164.0,2.6,410.0,Yes,No,Yes,No,Yes
MWI,Malawi,454,147.034275954,6.8,7.1,6.1,3.0,33.6,67.0,43.0,54.8,36.0,295.0,1.7,187.0,Yes,Yes,Yes,No,Yes
